file,row,key,old_related,new_related,report
SimpleWord/SimpleWord/Resources/中学英会話.csv,2,Hello!,感情・思考・認知,感情,Tools/reports/中学英会話_canonical_map_diff.txt
SimpleWord/SimpleWord/Resources/中学英会話.csv,14,I like reading.,文化・芸術・娯楽,文化・芸術,Tools/reports/中学英会話_canonical_map_diff.txt
SimpleWord/SimpleWord/Resources/中学英会話.csv,27,How much is this?,商業・買い物,買い物・商業,Tools/reports/中学英会話_canonical_map_diff.txt
SimpleWord/SimpleWord/Resources/中学英会話.csv,28,Do you take credit cards?,商業・買い物,買い物・商業,Tools/reports/中学英会話_canonical_map_diff.txt
SimpleWord/SimpleWord/Resources/中学英会話.csv,29,I'd like to buy this.,商業・買い物,買い物・商業,Tools/reports/中学英会話_canonical_map_diff.txt
SimpleWord/SimpleWord/Resources/中学英会話.csv,30,Can I try this on?,商業・買い物,買い物・商業,Tools/reports/中学英会話_canonical_map_diff.txt
SimpleWord/SimpleWord/Resources/中学英会話.csv,34,Can I get a receipt?,商業・買い物,買い物・商業,Tools/reports/中学英会話_canonical_map_diff.txt
SimpleWord/SimpleWord/Resources/中学英会話.csv,48,I like sports.,日常,スポーツ・遊び,Tools/reports/中学英会話_canonical_map_diff.txt
SimpleWord/SimpleWord/Resources/中学英会話.csv,52,Can you help me with my homework?,家族・人間関係,家族・住居,Tools/reports/中学英会話_canonical_map_diff.txt
SimpleWord/SimpleWord/Resources/中学英会話.csv,66,Where is the science lab?,物理・状態,科学・物理,Tools/reports/中学英会話_canonical_map_diff.txt
SimpleWord/SimpleWord/Resources/中学英会話.csv,74,I need to ask my parents first,家族・人間関係,家族・住居,Tools/reports/中学英会話_canonical_map_diff.txt
SimpleWord/SimpleWord/Resources/中学英会話.csv,75,Please set the table,家族・人間関係,家族・住居,Tools/reports/中学英会話_canonical_map_diff.txt
SimpleWord/SimpleWord/Resources/中学英会話.csv,76,Turn off the lights please,家族・人間関係,家族・住居,Tools/reports/中学英会話_canonical_map_diff.txt
SimpleWord/SimpleWord/Resources/中学英会話.csv,78,Can you babysit this weekend?,家族・人間関係,家族・住居,Tools/reports/中学英会話_canonical_map_diff.txt
SimpleWord/SimpleWord/Resources/中学英会話.csv,80,Can you help me cook dinner?,家族・人間関係,家族・住居,Tools/reports/中学英会話_canonical_map_diff.txt
SimpleWord/SimpleWord/Resources/中学英会話.csv,81,What's for dinner tonight?,家族・人間関係,家族・住居,Tools/reports/中学英会話_canonical_map_diff.txt
SimpleWord/SimpleWord/Resources/中学英会話.csv,82,Can you pass the salt?,家族・人間関係,家族・住居,Tools/reports/中学英会話_canonical_map_diff.txt
SimpleWord/SimpleWord/Resources/中学英会話.csv,87,I need to see a doctor,医療・健康,健康・身体,Tools/reports/中学英会話_canonical_map_diff.txt
SimpleWord/SimpleWord/Resources/中学英会話.csv,93,Can I have a sick note?,医療・健康,健康・身体,Tools/reports/中学英会話_canonical_map_diff.txt
SimpleWord/SimpleWord/Resources/中学英会話.csv,101,Where is the supermarket?,商業・買い物,買い物・商業,Tools/reports/中学英会話_canonical_map_diff.txt
SimpleWord/SimpleWord/Resources/中学英会話.csv,102,How much is this apple?,商業・買い物,買い物・商業,Tools/reports/中学英会話_canonical_map_diff.txt
