語句,読み,意味,語源等解説,関連語,関連分野,難易度
take into account,テ́イク イ́ントゥ アカ́ウント,考慮に入れる,take(取る)、into(〜の中へ)、account(考慮)の組み合わせ。要素を計算に入れるという意味。,"consider(コンスィ́ダー): 考慮する, bear in mind(ベ́アイン マ́インド): 心に留める",人・社会,中級
take for granted,テ́イク フォ́ー グラ́ンティド,当然と思う,take(取る)、for(〜として)、granted(与えられた)の組み合わせ。疑わずに受け入れるという意味。,"assume(アシュ́ーム): 仮定する, presume(プリズ́ーム): 推定する",人・社会,中級
take it easy,テ́イク イット イ́ージー,気楽にやる・落ち着く,take(取る)、it(それ)、easy(簡単に)の組み合わせ。リラックスするという意味。,"relax(リラ́ックス): くつろぐ, calm down(カ́ーム ダ́ウン): 落ち着く",人・社会,中級
make a difference,メ́イク ア ディ́フレンス,違いを生む・影響を与える,make(作る)、a difference(違い)の組み合わせ。変化をもたらすという意味。,"have an impact(ハ́ヴァニンパ́クト): 影響を持つ, matter(マ́ター): 重要である",人・社会,中級
make up one's mind,メ́イク ア́ップ ワ́ンズ マ́インド,決心する,make up(構成する)とmind(心)の組み合わせ。心を固めるという意味。,"decide(ディサ́イド): 決める, resolve(リゾ́ルヴ): 決意する",人・社会,中級
come to terms with,カ́ム トゥ タ́ームズ ウィズ,受け入れる・折り合いをつける,come(来る)、to terms(合意へ)、with(〜と)の組み合わせ。困難な状況を受容するという意味。,"accept(アクセ́プト): 受け入れる, reconcile oneself to(レ́コンサイルワンセ́ルフトゥ): 甘んじる",人・社会,中級
come in handy,カ́ム イン ハ́ンディ,役に立つ,come(来る)、in(〜の中に)、handy(便利な)の組み合わせ。便利に使えるという意味。,"be useful(ビー ユ́ースフル): 有用である, prove helpful(プルー́ヴ ヘ́ルプフル): 役立つと分かる",人・社会,中級
get around to,ゲ́ット アラ́ウンド トゥ,ようやく〜する時間ができる,get(得る)、around(周りを)、to(〜へ)の組み合わせ。やっと取り掛かるという意味。,"find time to(ファ́インド タ́イムトゥ): 時間を見つけて〜する, manage to(マ́ニジトゥ): どうにか〜する",時間・数量,中級
give way to,ギ́ヴ ウェ́イ トゥ,譲る・屈する,give(与える)、way(道)、to(〜へ)の組み合わせ。道を譲るという意味。,"yield to(イー́ルドトゥ): 降参する, surrender to(サレ́ンダートゥ): 明け渡す",人・社会,中級
look on,ル́ック オ́ン,傍観する,look(見る)とon(上に)の組み合わせ。見守るという意味。,"watch(ウォ́ッチ): 見守る, observe(オブザ́ーヴ): 観察する",人・社会,中級
set aside,セ́ット アサ́イド,取っておく・脇に置く,set(置く)とaside(脇へ)の組み合わせ。後のために確保するという意味。,"reserve(リザ́ーヴ): 予約する, save(セ́イヴ): 節約する",日常生活,中級
