語句,読み,意味,語源等解説,関連語,関連分野,難易度
cheer up,チィ́ア ア́ップ,元気づける・元気を出す,cheer(応援)と up(上へ)の組み合わせ。気分を上げるという意味。,"encourage(エンカ́レッジ): 励ます, lift spirits(リ́フトスピ́リッツ): 気分を高揚させる",人・社会,初級
slow down,スロ́ウ ダ́ウン,速度を落とす,slow(遅い)と down(下へ)の組み合わせ。スピードを下げるという意味。,"decelerate(ディスェ́ラレイト): 減速する, reduce speed(リデュ́ーススピ́ード): 速度を下げる",場所・移動,初級
hurry up,ハ́リ ア́ップ,急ぐ,hurry(急ぐ)と up(上へ)の組み合わせ。動作を速めるという意味。,"rush(ラ́ッシュ): 急ぐ, be quick(ビークウィ́ック): 素早くする",時間・数量,初級
calm down,カ́ーム ダ́ウン,落ち着く,calm(穏やか)と down(下へ)の組み合わせ。興奮状態から落ち着くという意味。,"relax(リラ́ックス): くつろぐ, settle down(セ́トルダ́ウン): 落ち着く",人・社会,初級
set up,セ́ット ア́ップ,設置する・準備する,set(設定する)と up(上へ)の組み合わせ。何かを組み立てて準備するという意味。,"establish(イスタ́ブリッシュ): 確立する, arrange(アレ́インジ): 配置する",日常生活,中級
give in,ギ́ヴ イ́ン,屈する・譲歩する,give(与える)と in(中に)の組み合わせ。抵抗をやめて従うという意味。,"surrender(サレ́ンダー): 降伏する, yield(イ́ールド): 譲る",人・社会,中級
hold on,ホ́ウルド オ́ン,待つ・つかまる,hold(保つ)と on(上に)の組み合わせ。その状態を保つという意味。電話で「お待ちください」の意味も。,"wait(ウェ́イト): 待つ, hang on(ハ́ングオン): しがみつく",時間・数量,初級
move on,ムー́ヴ オ́ン,先へ進む,move(動く)と on(前へ)の組み合わせ。次の段階に進むという意味。,"proceed(プロスィ́ード): 進む, advance(アドヴァ́ンス): 前進する",場所・移動,中級
write down,ラ́イト ダ́ウン,書き留める,write(書く)と down(下へ)の組み合わせ。紙に記録するという意味。,"note down(ノ́ウトダ́ウン): メモする, record(レコ́ード): 記録する",学校・学習,初級
clean up,クリ́ーン ア́ップ,掃除する・片付ける,clean(きれいにする)と up(上へ)の組み合わせ。完全にきれいにするという意味。,"tidy up(タ́イディア́ップ): 整理する, clear up(クリ́アア́ップ): 片付ける",日常生活,初級
use up,ユ́ーズ ア́ップ,使い果たす,use(使う)と up(上へ)の組み合わせ。完全に使い切るという意味。,"consume(コンスュ́ーム): 消費する, exhaust(イグゾ́ースト): 使い尽くす",日常生活,中級
eat out,イ́ート ア́ウト,外食する,eat(食べる)と out(外で)の組み合わせ。レストランなどで食事するという意味。,"dine out(ダ́インア́ウト): 外食する, have a meal out(ハ́ヴアミ́ールア́ウト): 外で食事する",食・健康,初級
stay up,ステ́イ ア́ップ,夜更かしする,stay(留まる)と up(起きて)の組み合わせ。寝ないで起きているという意味。,"sit up(スィ́ットア́ップ): 寝ないでいる, keep awake(キ́ープアウェ́イク): 起きている",日常生活,中級
lie down,ラ́イ ダ́ウン,横になる,lie(横たわる)と down(下へ)の組み合わせ。体を横たえるという意味。,"recline(リクラ́イン): もたれる, rest(レ́スト): 休む",日常生活,初級
stand up,スタ́ンド ア́ップ,立ち上がる,stand(立つ)と up(上へ)の組み合わせ。座った状態から立つという意味。,"rise(ラ́イズ): 起立する, get to one's feet(ゲ́ットトゥワ́ンズフィ́ート): 立ち上がる",日常生活,初級
sit down,スィ́ット ダ́ウン,座る,sit(座る)と down(下へ)の組み合わせ。立った状態から座るという意味。,"take a seat(テ́イクアスィ́ート): 着席する, be seated(ビースィ́ーティド): 座る",日常生活,初級
count on,カ́ウント オ́ン,頼りにする・当てにする,count(数える)と on(〜に)の組み合わせ。計算に入れるという意味から「頼りにする」に。,"rely on(リラ́イオン): 頼る, depend on(ディペ́ンドオン): 依存する",人・社会,中級
hand in,ハ́ンド イ́ン,提出する,hand(手渡す)と in(中へ)の組み合わせ。書類などを提出するという意味。,"submit(サブミ́ット): 提出する, turn in(タ́ーンイン): 提出する",学校・学習,初級
point out,ポ́イント ア́ウト,指摘する,point(指す)と out(外へ)の組み合わせ。何かを示して注意を向けさせるという意味。,"indicate(イ́ンディケイト): 示す, mention(メ́ンション): 言及する",言語基本,中級
try on,トラ́イ オ́ン,試着する,try(試す)と on(身に付けて)の組み合わせ。服などを着てみるという意味。,"test(テ́スト): 試す, fit(フィ́ット): 合わせてみる",日常生活,初級
throw away,スロ́ウ アウェ́イ,捨てる,throw(投げる)と away(離れて)の組み合わせ。不要なものを処分するという意味。,"discard(ディスカ́ード): 捨てる, get rid of(ゲ́ットリ́ッドオヴ): 処分する",日常生活,初級
