file,row,key,old_related,new_related,和訳,元関連分野,source_row,report
SimpleWord/Resources/中学英単語.csv,,SimpleWord/Resources/中学英単語.csv,zoo;pet;wild,,bird,zoo;pet;wild,,
SimpleWord/SimpleWord/Resources/中学英会話.csv,2,Hello!,感情・思考・認知,感情,こんにちは,感情,語句=Hello!|発音（カタカナ）=ハロー|和訳=こんにちは|語源等解説（日本語）=英語の挨拶の定番|関連語（英語）と意味（日本語）=Hi:やあ|関連分野（日本語）=感情|難易度=1,Tools/reports/中学英会話_canonical_map_diff.txt
SimpleWord/SimpleWord/Resources/中学英会話.csv,14,I like reading.,文化・芸術・娯楽,文化・芸術,読書が好きです,文化・芸術,語句=I like reading.|発音（カタカナ）=アイ ライク リーディング|和訳=読書が好きです|語源等解説（日本語）=趣味を答える表現|関連語（英語）と意味（日本語）=I like music:音楽が好き|関連分野（日本語）=文化・芸術|難易度=1,Tools/reports/中学英会話_canonical_map_diff.txt
SimpleWord/SimpleWord/Resources/中学英会話.csv,27,How much is this?,商業・買い物,買い物・商業,これはいくらですか,買い物・商業,語句=How much is this?|発音（カタカナ）=ハウ マッチ イズ ディス|和訳=これはいくらですか|語源等解説（日本語）=値段を尋ねる表現|関連語（英語）と意味（日本語）=What's the price?:値段は？|関連分野（日本語）=買い物・商業|難易度=1,Tools/reports/中学英会話_canonical_map_diff.txt
SimpleWord/SimpleWord/Resources/中学英会話.csv,28,Do you take credit cards?,商業・買い物,買い物・商業,クレジットカードは使えますか,買い物・商業,語句=Do you take credit cards?|発音（カタカナ）=ドゥ ユー テイク クレジット カーズ|和訳=クレジットカードは使えますか|語源等解説（日本語）=支払い方法を尋ねる表現|関連語（英語）と意味（日本語）=Can I pay by card?:カードで払えますか|関連分野（日本語）=買い物・商業|難易度=2,Tools/reports/中学英会話_canonical_map_diff.txt
SimpleWord/SimpleWord/Resources/中学英会話.csv,29,I'd like to buy this.,商業・買い物,買い物・商業,これを買いたいです,買い物・商業,語句=I'd like to buy this.|発音（カタカナ）=アイド ライク トゥ バイ ディス|和訳=これを買いたいです|語源等解説（日本語）=購入意思を伝える表現|関連語（英語）と意味（日本語）=I'll take this:これにします|関連分野（日本語）=買い物・商業|難易度=1,Tools/reports/中学英会話_canonical_map_diff.txt
SimpleWord/SimpleWord/Resources/中学英会話.csv,30,Can I try this on?,商業・買い物,買い物・商業,試着できますか,買い物・商業,語句=Can I try this on?|発音（カタカナ）=キャン アイ トライ ディス オン|和訳=試着できますか|語源等解説（日本語）=服の試着を尋ねる表現|関連語（英語）と意味（日本語）=May I try this?:試してもいい？|関連分野（日本語）=買い物・商業|難易度=2,Tools/reports/中学英会話_canonical_map_diff.txt
SimpleWord/SimpleWord/Resources/中学英会話.csv,34,Can I get a receipt?,商業・買い物,買い物・商業,レシートをもらえますか,買い物・商業,語句=Can I get a receipt?|発音（カタカナ）=キャン アイ ゲット ア レシート|和訳=レシートをもらえますか|語源等解説（日本語）=レシートの要求|関連語（英語）と意味（日本語）=May I have a receipt?:レシートください|関連分野（日本語）=買い物・商業|難易度=2,Tools/reports/中学英会話_canonical_map_diff.txt
SimpleWord/SimpleWord/Resources/中学英会話.csv,48,I like sports.,日常,スポーツ・遊び,スポーツが好きです,スポーツ・遊び,語句=I like sports.|発音（カタカナ）=アイ ライク スポーツ|和訳=スポーツが好きです|語源等解説（日本語）=好みを伝える表現|関連語（英語）と意味（日本語）=I like music:音楽が好き|関連分野（日本語）=スポーツ・遊び|難易度=1,Tools/reports/中学英会話_canonical_map_diff.txt
SimpleWord/SimpleWord/Resources/中学英会話.csv,52,Can you help me with my homework?,家族・人間関係,家族・住居,宿題を手伝ってくれますか,家族・住居,語句=Can you help me with my homework?|発音（カタカナ）=キャン ユー ヘルプ ミー ウィズ マイ ホームワーク?|和訳=宿題を手伝ってくれますか|語源等解説（日本語）=学習や課題のサポートを求める表現|関連語（英語）と意味（日本語）=Could you explain this?:これを説明してくれますか|関連分野（日本語）=家族・住居|難易度=2,Tools/reports/中学英会話_canonical_map_diff.txt
SimpleWord/SimpleWord/Resources/中学英会話.csv,66,Where is the science lab?,物理・状態,科学・物理,理科室はどこですか,科学・物理,語句=Where is the science lab?|発音（カタカナ）=ホウェア イズ ザ サイエンス ラボ|和訳=理科室はどこですか|語源等解説（日本語）=実験室の場所確認|関連語（英語）と意味（日本語）=Where's the lab?:実験室はどこ|関連分野（日本語）=科学・物理|難易度=1,Tools/reports/中学英会話_canonical_map_diff.txt
