語句,発音（カタカナ）,和訳,語源等解説（日本語）,関連語（英語）と意味（日本語）,関連分野（日本語）,難易度
var,ヴァー,変数宣言,variable（変数）の略。ラテン語variābilis（変わりやすい）←variāre（変える）。値を変更できる入れ物。同語源：variable（変数）、variation（変化）,let:定数宣言; variable:変数; mutable:可変,Swift基礎,1
let,レット,定数宣言,「させる」の意。値を定数に代入する。一度代入したら変更不可。不変性を保証。同語源：letter（文字）,var:変数宣言; constant:定数; immutable:不変,Swift基礎,1
func,ファンク,関数定義,function（関数）の略。ラテン語functiō（遂行）←fungī（果たす）。特定の役割を果たすコードのまとまり。同語源：functional（関数型）,function:関数; method:メソッド; return:返り値,関数・メソッド,1
class,クラス,クラス定義,ラテン語classis（階級・集団）。オブジェクトの設計図。プロパティとメソッドをまとめる。同語源：classify（分類する）,struct:構造体; object:オブジェクト; init:初期化,クラス・構造体,1
struct,ストラクト,構造体定義,structure（構造）の略。値型のデータ構造。classより軽量で安全。同語源：structure（構造）、structural（構造的）,class:クラス; value type:値型; reference type:参照型,クラス・構造体,2
if,イフ,条件分岐,古英語gif（もし）。条件が真なら実行。falseならelseへ。同パターン：if let（安全展開）、if case（パターンマッチ）,else:それ以外; else if:さらに条件; condition:条件,制御構文,1
for,フォー,繰り返し,古英語for（～のために）。配列やレンジの各要素に対して繰り返す。同パターン：for in（範囲指定）、forEach（関数型）,loop:ループ; while:条件繰り返し; break:中断,制御構文,1
return,リターン,値を返す,ラテン語re-（戻る）+ tornāre（旋回する）。関数から値を返して呼び出し元に戻る。同語源：returnable（返却可能）,func:関数; value:値; Void:戻り値なし,関数・メソッド,1
String,ストリング,文字列型,「糸・紐」の意。文字を繋げたもの。テキストを扱う基本型。同語源：stringent（厳格な）,Int:整数型; Double:小数型; Character:文字型,データ型,1
Int,イント,整数型,integer（整数）の略。ラテン語integer（完全な）←in-（否定）+ tangere（触れる）。小数点のない数。同語源：integral（不可欠な）,Double:小数型; Float:浮動小数; number:数値,データ型,1
Double,ダブル,倍精度小数型,「2倍の」の意。浮動小数点数を高精度で扱う。Floatの2倍の精度。同語源：duplicate（複製）,Float:単精度小数; Int:整数; decimal:十進数,データ型,1
Bool,ブール,真偽値型,Boolean（ブール代数）の略。George Boole（数学者）にちなむ。trueかfalseの2値。同語源：Boolean（論理演算）,true:真; false:偽; condition:条件,データ型,1
Array,アレイ,配列型,古フランス語areer（整列させる）←ラテン語ad-（～へ）+ rēdāre（準備する）。同じ型の値を順序付けて格納。同語源：arrange（配置する）,Dictionary:辞書型; Set:集合型; collection:コレクション,データ型,2
Dictionary,ディクショナリー,辞書型,ラテン語dictiōnārium（辞書）←dictiō（言葉）。キーと値のペアを格納。同語源：diction（言葉遣い）,Array:配列; key:キー; value:値,データ型,2
optional,オプショナル,値があるかnilかの型,option（選択肢）+ -al（形容詞）。値があるかnil（なし）かを選択できる型。?で宣言，!で強制展開。同語源：option（選択）,nil:値なし; unwrap:展開; guard:安全確認; if let:安全展開,データ型,2
nil,ニル,値がない状態,ラテン語nihil（無）の略。何も値がない状態を表す。optional型でのみ使用可能。同語源：nihilism（虚無主義）,optional:オプショナル型; none:なし; null:ヌル,データ型,2
guard,ガード,安全確認,「守る」の意。条件を満たさない場合に早期リターンして安全性を守る。同語源：guardian（守護者）,if let:条件展開; else:それ以外; return:返る,制御構文,2
switch,スウィッチ,多分岐,「切り替える」の意。複数の条件で分岐。必ず全ケースをカバー（exhaustive）。同語源：switchboard（交換台）,case:ケース; default:デフォルト; break:中断,制御構文,2
enum,イーナム,列挙型,enumeration（列挙）の略。ラテン語ēnumerāre（数え上げる）。関連する値の集合を定義。同語源：enumerate（列挙する）,case:ケース; rawValue:生の値; associated value:関連値,データ型,2
protocol,プロトコル,プロトコル定義,ギリシャ語prōtokollon（巻物の最初のページ）。クラスや構造体が実装すべきメソッド・プロパティの設計図。同語源：prototype（試作品）,delegate:委譲; conform:準拠; extension:拡張,プロトコル,3
extension,エクステンション,拡張,ラテン語ex-（外へ）+ tendere（伸ばす）。既存の型に機能を追加。同語源：extend（拡張する）、extensive（広範囲の）,protocol:プロトコル; computed property:計算プロパティ; method:メソッド,クラス・構造体,2
