語句,読み,意味,語源等解説,関連語,関連分野,難易度
a,ア́(エ́イ),一つの,"古英語 ""an""(一つ)の短縮形。派生: an(アン): 一つの(母音の前)","one(ワン): 1つ, the(ザ): その, some(サム): いくつかの",言語基本,beginner
able,エ́イブル,〜できる / できる,"ラテン語 ""habilis""(扱いやすい)。派生: ability(アビリティ): 能力 / unable(アネイブル): できない","can(キャ́ン): 〜できる, possible(ポ́ッシブル): 可能な、capable(ケイパブル): 有能な, possible(ポッシブル): 可能な",人・社会,intermediate
about,アバ́ウト,〜について,"古英語の ""onbūtan""(周りに)が語源。","on(オ́ン): 〜の上に, of(オ́ヴ): 〜の",言語基本,beginner
above,アバ́ヴ,〜の上に,"古英語の ""abufan"" が語源。","over(オ́ーヴァー): 〜の上に, below(ビロ́ウ): 〜の下に",場所・移動,beginner
abroad,Abroad,海外へ,,,場所・移動,intermediate
accept,アクセ́プト,受け入れる,"ラテン語の ""accipere""(受け取る)が語源。""ad-""(〜へ)と ""capere""(つかむ)から。同じ語源を持つ単語に ""capture(キャ́プチャー): 捕らえる"" がある。","receive(レシーヴ): 受け取る, refuse(リフューズ): 拒否する、receive(リシーヴ): 受け取る, agree(アグリー): 同意する",人・社会,intermediate
accident,Accident,事故,,,人・社会,intermediate
according,According,一致して,,,人・社会,intermediate
across,アクロ́ス,横切って,"古フランス語の ""a croix""(十字に)が語源。","through(スルー): 通り抜けて, over(オ́ーヴァー): 超えて",場所・移動,beginner
act,ア́クト,行動する / 行動する・演じる,"ラテン語の ""agere""(行う)が語源。同じ語源を持つ単語に ""action(ア́クション): 行動"" がある。","do(ドゥ́): する, move(ム́ーヴ): 動く、perform(パフォーム): 実行する, behave(ビヘイヴ): 振る舞う",人・社会,intermediate
action,Action,actionすること,,,人・社会,intermediate
active,ア́クティヴ,活動的な,"ラテン語 ""activus""。派生: activity(アクティヴィティ): 活動 / actively(アクティヴリ): 活発に","busy(ビジー): 忙しい, energetic(エナジェティック): 精力的な",人・社会,intermediate
