語句,読み,意味,語源等解説,関連語,関連分野,難易度
a,ア́(エ́イ),一つの,"古英語 ""an""(一つ)の短縮形。派生: an(アン): 一つの(母音の前)","one(ワン): 1つ, the(ザ): その, some(サム): いくつかの",冠詞,初級
able,エ́イブル,〜できる / できる,"ラテン語 ""habilis""(扱いやすい)。派生: ability(アビリティ): 能力 / unable(アネイブル): できない","can(キャ́ン): 〜できる, possible(ポ́ッシブル): 可能な、capable(ケイパブル): 有能な, possible(ポッシブル): 可能な",状態、形容詞,中級
about,アバ́ウト,〜について,"古英語の ""onbūtan""(周りに)が語源。","on(オ́ン): 〜の上に, of(オ́ヴ): 〜の",前置詞,初級
above,アバ́ヴ,〜の上に,"古英語の ""abufan"" が語源。","over(オ́ーヴァー): 〜の上に, below(ビロ́ウ): 〜の下に",前置詞,初級
abroad,Abroad,海外へ,abroad の詳細な語源情報を追加してください。,,中級語彙,中級
accept,アクセ́プト,受け入れる,"ラテン語の ""accipere""(受け取る)が語源。""ad-""(〜へ)と ""capere""(つかむ)から。同じ語源を持つ単語に ""capture(キャ́プチャー): 捕らえる"" がある。","receive(レシーヴ): 受け取る, refuse(リフューズ): 拒否する、receive(リシーヴ): 受け取る, agree(アグリー): 同意する",動作、動詞,中級
accident,Accident,事故,accident の詳細な語源情報を追加してください。,,中級語彙,中級
according,According,一致して,according の詳細な語源情報を追加してください。,,中級語彙,中級
across,アクロ́ス,横切って,"古フランス語の ""a croix""(十字に)が語源。","through(スルー): 通り抜けて, over(オ́ーヴァー): 超えて",前置詞,初級
act,ア́クト,行動する / 行動する・演じる,"ラテン語の ""agere""(行う)が語源。同じ語源を持つ単語に ""action(ア́クション): 行動"" がある。","do(ドゥ́): する, move(ム́ーヴ): 動く、perform(パフォーム): 実行する, behave(ビヘイヴ): 振る舞う",動作、動詞,中級
action,Action,actionすること,action の語源情報が必要です。,,名詞,中級
active,ア́クティヴ,活動的な,"ラテン語 ""activus""。派生: activity(アクティヴィティ): 活動 / actively(アクティヴリ): 活発に","busy(ビジー): 忙しい, energetic(エナジェティック): 精力的な",形容詞,中級
activity,アクティ́ヴィティ,活動・行動,active+ity。派生: outdoor activity(アウトドアアクティヴィティ): 屋外活動,"action(ア́クション): 行動, pursuit(パースー́ト): 活動",行動,中級
actor,ア́クター,俳優,act+or。派生: actress(ア́クトレス): 女優,"performer(パフォ́ーマー): 演技者, player(プレ́イヤー): 役者",人物,中級
actually,Actually,actualの状態で,actually の語源情報が必要です。,,副詞,中級
add,ア́ッド,加える,"ラテン語の ""addere"" が語源。""ad-""(〜へ)と ""dare""(与える)から。","subtract(サブトラ́クト): 引く, increase(インクリ́ース): 増やす",動作,初級
adult,アダ́ルト,成人・大人の / 大人,"ラテン語 ""adultus""(成長した)。派生: adulthood(アダルトフッド): 成人期","grown-up(グロ́ウンアップ): 大人, mature(マチュ́ア): 成熟した、grown-up(グロウンアップ): 大人, mature(マチュア): 成熟した",人物、名詞,中級
advice,アドヴァ́イス,助言,"古フランス語 ""avis""(意見)。派生: advisable(アドヴァイザブル): 賢明な","suggestion(サジェスチョン): 提案, recommendation(レコメンデイション): 推奨",名詞,中級
affect,アフェ́クト,影響する・感動させる,"ラテン語 ""afficere""(作用する)。派生: affected(アフェクティッド): 影響を受けた / affection(アフェクション): 愛情","influence(イ́ンフルエンス): 影響する, impact(インパ́クト): 影響を与える",動作,中級
afraid,アフレ́イド,恐れて,"古英語の ""āfǣran""(怖がらせる)が語源。","scared(スケ́アド): 怖がって, fearful(フィ́アフル): 恐れている",感情,初級
after,ア́フター,〜の後で,"古英語の ""æfter"" が語源。","before(ビフォ́ー): 〜の前に, later(レ́イター): 後で",時間,初級
afternoon,アフタヌ́ーン,午後,"after+""noon""(正午)。派生: this afternoon(ジスアフタヌーン): 今日の午後","morning(モーニング): 午前, evening(イーヴニング): 夕方, noon(ヌーン): 正午",名詞,初級
again,アゲ́イン,再び,"古英語の ""ongean""(反対側に)が語源。","once more(ワ́ンスモ́ア): もう一度, repeat(リピ́ート): 繰り返す",副詞,初級
against,Against,〜に反対して,against の詳細な語源情報を追加してください。,,中級語彙,中級
age,エ́イジ,年齢,"ラテン語の ""aevum""(時代)が語源。","old(オ́ウルド): 年老いた, young(ヤ́ング): 若い",名詞,初級
ago,アゴ́ウ,〜前に,"古英語の ""āgān""(過ぎ去る)が語源。","before(ビフォ́ー): 以前に, past(パ́スト): 過去",時間,初級
agree,アグリ́ー,同意する,"ラテン語の ""gratus""(心地よい)が語源。""ad-""(〜へ)と ""gratus"" から。","disagree(ディスアグリ́ー): 反対する, accept(アクセ́プト): 受け入れる",思考,初級
ahead,Ahead,前方に,ahead の詳細な語源情報を追加してください。,,中級語彙,中級
aid,Aid,援助,aid の詳細な語源情報を追加してください。,,中級語彙,中級
