語句,読み,意味,語源等解説,関連語,関連分野,難易度
turn around,タ́ーン アラ́ウンド,振り向く・好転する,turn(回る)と around(周りに)の組み合わせ。方向を変える、または状況が良くなるという意味。,"turn back(タ́ーンバ́ック): 引き返す, reverse(リヴァ́ース): 逆転する",場所・移動,初級
look back,ル́ック バ́ック,振り返る,look(見る)と back(後ろに)の組み合わせ。後ろを見る、または過去を振り返るという意味。,"recall(リコ́ール): 思い出す, remember(リメ́ンバー): 思い出す",時間・数量,初級
move in,ムー́ヴ イ́ン,引っ越してくる,move(動く)と in(中へ)の組み合わせ。新しい家に入居するという意味。対義語: move out,"relocate(リロ́ウケイト): 移転する, settle in(セ́トルイン): 落ち着く",場所・移動,初級
move out,ムー́ヴ ア́ウト,引っ越す・退去する,move(動く)と out(外へ)の組み合わせ。家から出て行くという意味。対義語: move in,"leave(リ́ーヴ): 去る, vacate(ヴェ́イケイト): 立ち退く",場所・移動,初級
go away,ゴ́ウ アウェ́イ,去る・いなくなる,go(行く)と away(離れて)の組み合わせ。その場から離れるという意味。,"leave(リ́ーヴ): 出発する, depart(ディパ́ート): 去る",場所・移動,初級
come over,カ́ム オ́ウヴァー,訪ねてくる,come(来る)と over(越えて)の組み合わせ。誰かの家に遊びに来るという意味。,"visit(ヴィ́ジット): 訪問する, drop by(ドロ́ップバ́イ): 立ち寄る",人・社会,初級
hang out,ハ́ング ア́ウト,ぶらぶら過ごす・遊ぶ,hang(ぶら下がる)と out(外で)の組み合わせ。友達と気楽に時間を過ごすという意味。,"spend time(スペ́ンドタ́イム): 時間を過ごす, socialize(ソ́ウシャライズ): 交流する",人・社会,初級
get together,ゲ́ット トゥゲ́ザー,集まる,get(なる)と together(一緒に)の組み合わせ。人々が集合するという意味。,"meet(ミ́ート): 会う, gather(ギャ́ザー): 集まる",人・社会,初級
show off,ショ́ウ オ́フ,見せびらかす,show(見せる)と off(誇示して)の組み合わせ。自慢げに何かを見せるという意味。,"boast(ボ́ウスト): 自慢する, brag(ブラ́グ): 自慢する",人・社会,初級
find oneself,ファ́インド ワンセ́ルフ,自分を見つける・気づく,find(見つける)と oneself(自分自身)の組み合わせ。自分の居場所や状態に気づくという意味。,"discover oneself(ディスカ́ヴァーワンセルフ): 自分を発見する, realize(リ́アライズ): 気づく",人・社会,初級
help out,ヘ́ルプ ア́ウト,手伝う,help(助ける)と out(外へ)の組み合わせ。困っている人を助けるという意味。,"assist(アシ́スト): 援助する, lend a hand(レ́ンドアハ́ンド): 手を貸す",人・社会,初級
watch out,ウォ́ッチ ア́ウト,気をつける・注意する,watch(見る)と out(外に)の組み合わせ。危険に注意するという意味。,"be careful(ビーケ́アフル): 注意する, look out(ル́ックア́ウト): 警戒する",日常生活,初級
work together,ワ́ーク トゥゲ́ザー,協力する,work(働く)と together(一緒に)の組み合わせ。共同で作業するという意味。,"cooperate(コウオ́パレイト): 協力する, collaborate(コラ́ボレイト): 共同作業する",学校・学習,初級
take turns,テ́イク タ́ーンズ,交代する,take(取る)と turns(順番)の組み合わせ。順番に何かをするという意味。,"alternate(オ́ールタネイト): 交互にする, rotate(ロ́ウテイト): 回転する",人・社会,初級
fall asleep,フォ́ール アスリ́ープ,眠りに落ちる,fall(落ちる)と asleep(眠って)の組み合わせ。眠りに入るという意味。,"go to sleep(ゴ́ウトゥスリ́ープ): 眠る, doze off(ドー́ズオフ): うとうとする",日常生活,初級
stay awake,ステ́イ アウェ́イク,起きている,stay(留まる)と awake(目覚めて)の組み合わせ。眠らずにいるという意味。,"remain awake(リメ́インアウェイク): 起きたままでいる, keep awake(キ́ープアウェイク): 目を覚ましている",日常生活,初級
feel like,フィ́ール ラ́イク,〜したい気がする,feel(感じる)と like(〜のような)の組み合わせ。何かをしたい気持ちという意味。,"want to(ウォ́ントトゥ): 〜したい, would like to(ウ́ッドラ́イクトゥ): 〜したい",言語基本,初級
sound like,サ́ウンド ラ́イク,〜のように聞こえる,sound(聞こえる)と like(〜のような)の組み合わせ。何かに似た音や様子という意味。,"seem like(スィ́ームラ́イク): 〜のように見える, appear(アピ́ア): 見える",言語基本,初級
smell like,スメ́ル ラ́イク,〜のような匂いがする,smell(匂う)と like(〜のような)の組み合わせ。特定の匂いがするという意味。,"smell of(スメ́ルオヴ): 〜の匂いがする, reek of(リ́ークオヴ): 〜の悪臭がする",日常生活,初級
taste like,テ́イスト ラ́イク,〜のような味がする,taste(味がする)と like(〜のような)の組み合わせ。特定の味を感じるという意味。,"taste of(テ́イストオヴ): 〜の味がする, savor(セ́イヴァー): 味わう",食・健康,初級
act like,ア́クト ラ́イク,〜のように振る舞う,act(行動する)と like(〜のような)の組み合わせ。特定の人や物のように行動するという意味。,"behave like(ビヘ́イヴラ́イク): 〜のように振る舞う, pretend(プリテ́ンド): ふりをする",人・社会,初級
dress up,ドレ́ス ア́ップ,おしゃれをする・正装する,dress(服を着る)と up(上へ)の組み合わせ。普段より良い服を着るという意味。,"get dressed up(ゲ́ットドレ́ストア́ップ): めかし込む, wear formal clothes(ウェ́アフォ́ーマルクロ́ウズ): 正装する",日常生活,初級
warm up,ウォ́ーム ア́ップ,温まる・準備運動する,warm(暖かい)と up(上へ)の組み合わせ。体温を上げる、または運動前の準備をするという意味。,"heat up(ヒ́ートア́ップ): 熱くなる, prepare(プリペ́ア): 準備する",運動・娯楽,初級
cool down,クー́ル ダ́ウン,冷ます・落ち着く,cool(冷たい)と down(下へ)の組み合わせ。温度を下げる、または興奮を鎮めるという意味。,"calm down(カ́ームダ́ウン): 落ち着く, chill out(チ́ルア́ウト): リラックスする",日常生活,初級
mix up,ミ́ックス ア́ップ,混同する・混ぜる,mix(混ぜる)と up(上へ)の組み合わせ。異なるものを間違える、または混ぜ合わせるという意味。,"confuse(コンフュ́ーズ): 混乱させる, blend(ブレ́ンド): 混ぜ合わせる",日常生活,初級
add up,ア́ッド ア́ップ,合計する・筋が通る,add(加える)と up(上へ)の組み合わせ。数字を足し合わせる、または話が理にかなうという意味。,"total(トー́タル): 合計する, make sense(メ́イクセ́ンス): 筋が通る",時間・数量,初級
speak up,スピ́ーク ア́ップ,はっきり話す・声を上げる,speak(話す)と up(上へ)の組み合わせ。より大きな声で話す、または意見を言うという意味。,"talk louder(トー́クラ́ウダー): 大声で話す, voice opinion(ヴォ́イスオピ́ニオン): 意見を述べる",言語基本,初級
hold back,ホ́ウルド バ́ック,抑える・控える,hold(保つ)と back(後ろに)の組み合わせ。感情や行動を抑制するという意味。,"restrain(リストレ́イン): 抑制する, withhold(ウィズホ́ウルド): 控える",人・社会,初級
slow up,スロ́ウ ア́ップ,ゆっくりにする,slow(遅い)と up(上へ)の組み合わせ。速度を落とすという意味。類似: slow down,"slow down(スロ́ウダ́ウン): 減速する, decelerate(ディスェ́ラレイト): 速度を落とす",場所・移動,初級
speed up,スピ́ード ア́ップ,速度を上げる,speed(速度)と up(上へ)の組み合わせ。より速くするという意味。,"accelerate(アクセ́ラレイト): 加速する, hasten(ヘ́イスン): 急がせる",場所・移動,初級
