問題ID,ファイル名,疑惑レベル,タイプ,文,正解,選択肢,理由,判定,代替正解,修正方針,レビュアー,日時
g1-u0-conv-003,grammar_grade1_unit0.json,2,conversation,,from,from | in | at,前置詞が2個,,,,,
g1-u1-vf-003,grammar_grade1_unit1.json,2,verbForm,We ____ to school.,go,go | goes | went,時制マーカーなし & 動詞変化形が複数,,,,,
g1-u1-vf-009,grammar_grade1_unit1.json,2,verbForm,I ____ my homework.,do,do | does | did,時制マーカーなし & 動詞変化形が複数,,,,,
g1-u1-vf-010,grammar_grade1_unit1.json,2,verbForm,They don't ____ to school by bus.,go,go | goes | went,時制マーカーなし & 動詞変化形が複数,,,,,
g1-u2-fib-011,grammar_grade1_unit2.json,2,fillInBlank,She ____ to school by bus.,goes,goes | go | went,時制マーカーなし & 動詞変化形が複数,,,,,
g1-u4-conv-002,grammar_grade1_unit4.json,2,conversation,,from,from | in | at,前置詞が2個,,,,,
g1-u4-conv-003,grammar_grade1_unit4.json,2,conversation,,in,in | on | at,前置詞が3個,,,,,
g1-u8-conv-002,grammar_grade1_unit8.json,2,conversation,,did,did | do | was,時制マーカーなし & 動詞変化形が複数,,,,,
g1-u8-conv-004,grammar_grade1_unit8.json,2,conversation,,had,had | have | has,時制マーカーなし & 動詞変化形が複数,,,,,
g1-u9-conv-001,grammar_grade1_unit9.json,2,conversation,,went,went | go | goes,時制マーカーなし & 動詞変化形が複数,,,,,
g1-u9-conv-002,grammar_grade1_unit9.json,2,conversation,,did,did | do | had,時制マーカーなし & 動詞変化形が複数,,,,,
g1-u9-conv-005,grammar_grade1_unit9.json,2,conversation,,go,go | went | goes,時制マーカーなし & 動詞変化形が複数,,,,,
g2-u0-conv-007,grammar_grade2_unit0.json,2,conversation,,went,went | go | goed,時制マーカーなし & 動詞変化形が複数,,,,,
g2-u0-conv-009,grammar_grade2_unit0.json,2,conversation,,did,did | do | done,時制マーカーなし & 動詞変化形が複数,,,,,
g2-u2-fib-004,grammar_grade2_unit1.json,2,fillInBlank,We ____ go to Okinawa this summer.,are going to,are going to | go | went,時制マーカーなし & 動詞変化形が複数,,,,,
g2-u4-fib-001,grammar_grade2_unit3.json,2,fillInBlank,I like ____ read books.,to,to | for | of,前置詞が2個,,,,,
g2-u4-fib-002,grammar_grade2_unit3.json,2,fillInBlank,I like ____ listen to music.,to,to | for | at,前置詞が3個,,,,,
g2-u4-fib-003,grammar_grade2_unit3.json,2,fillInBlank,She likes ____ swim.,to,to | for | of,前置詞が2個,,,,,
g2-u4-fib-004,grammar_grade2_unit3.json,2,fillInBlank,I like ____ cook.,to,to | for | at,前置詞が3個,,,,,
g2-u4-fib-005,grammar_grade2_unit3.json,2,fillInBlank,He likes ____ run.,to,to | for | of,前置詞が2個,,,,,
g2-u4-fib-006,grammar_grade2_unit3.json,2,fillInBlank,I want ____ study English.,to,to | for | of,前置詞が2個,,,,,
g2-u4-fib-007,grammar_grade2_unit3.json,2,fillInBlank,She wants ____ be a singer.,to,to | for | at,前置詞が3個,,,,,
g2-u4-fib-008,grammar_grade2_unit3.json,2,fillInBlank,I want ____ be a doctor.,to,to | for | of,前置詞が2個,,,,,
g2-u4-fib-009,grammar_grade2_unit3.json,2,fillInBlank,He wants ____ be a teacher.,to,to | for | at,前置詞が3個,,,,,
g2-u4-fib-010,grammar_grade2_unit3.json,2,fillInBlank,I want ____ visit Japan.,to,to | for | of,前置詞が2個,,,,,
