語句,読み,意味,語源等解説,関連語,関連分野,難易度
arts and crafts,ɑːts ænd kræfts (アーツ アンド クラフツ),工芸,arts(芸術)と crafts(工芸品)を組み合わせた表現。絵画や彫刻などの手作り芸術全般を指す。学校の科目名としても使われる。,,人・社会,intermediate
e-mail,iː meɪl (イー メイル),電子メール,electronic(電子の)を略した e- と mail(郵便)の組み合わせ。インターネットを通じて送受信するメッセージ。現在は email とハイフンなしで書くことも多い。,,人・社会,intermediate
fire station,ˈfaɪə steɪʃən (ファイア ステイション),消防署,fire(火事)に対応する station(駅・拠点)。消防士が常駐し、消防車が配備されている施設。police station(警察署)とセットで覚えると良い。,,人・社会,intermediate
ice cream,aɪs kriːm (アイス クリーム),アイスクリーム,ice cream の詳しい用法を追加してください。,,人・社会,intermediate
moral education,ˈmɒrəl edʒuˈkeɪʃən (モラル エジュケイション),道徳教育,moral education の詳しい用法を追加してください。,,場所・移動,intermediate
police officer,pəˈliːs ˈɒfɪsə (ポリース オフィサー),警察官,police officer の詳しい用法を追加してください。,,人・社会,intermediate
police station,pəˈliːs ˈsteɪʃən (ポリース ステイション),警察署,police station の詳しい用法を追加してください。,,人・社会,intermediate
post office,pəʊst ˈɒfɪs (ポウスト オフィス),郵便局,post office の詳しい用法を追加してください。,,人・社会,intermediate
social studies,ˈsəʊʃəl ˈstʌdiz (ソウシャル スタディズ),社会科,social studies の詳しい用法を追加してください。,,学校・学習,intermediate
table tennis,ˈteɪbəl ˈtenɪs (テイブル テニス),卓球,table tennis の詳しい用法を追加してください。,,運動・娯楽,intermediate
the U.K.,θe u.k. (ザ ユーケ́イ),イギリス,the U.K. の詳しい用法を追加してください。,,場所・移動,intermediate
T-shirt,tiː ʃɜːt (ティー シャート),Tシャツ,T-shirt の詳しい用法を追加してください。,,日常生活,intermediate
a - amount of,ə - əmoʊunt oʊf (ア アマウント オヴ),かなりの量の,a - amount of の詳しい用法を追加してください。,,時間・数量,intermediate
a cup of,ə cup oʊf (ア カップ オヴ),一杯の,a cup of の詳しい用法を追加してください。,,人・社会,intermediate
a few,ə few (ア フュー),少しの,a few の詳しい用法を追加してください。,,人・社会,intermediate
a glass of,ə gləss oʊf (ア グラス オヴ),一杯の,a glass of の詳しい用法を追加してください。,,人・社会,intermediate
a kind of,ə kind oʊf (ア カインド オヴ),一種の,a kind of の詳しい用法を追加してください。,,自然・環境,intermediate
a little,ə little (ア リトル),少し,a little の詳しい用法を追加してください。,,人・社会,intermediate
a lot,ə loʊt (ア ロット),たくさん,a lot の詳しい用法を追加してください。,,人・社会,intermediate
a lot of,ə loʊt oʊf (ア ロット オヴ),多くの,a lot of の詳しい用法を追加してください。,,人・社会,intermediate
