語句,読み,意味,語源等解説,関連語,関連分野,難易度
accomplish,アカ́ンプリシュ,達成する,ラテン語accomplere(完全にする)から。派生語: accomplishment(アカ́ンプリッシュメント:達成・業績), accomplished(アカ́ンプリッシュト:熟練した),in spite of～(インスパ́イトオブ:～にもかかわらず);achieve(アチ́ーヴ:達成する);complete(コンプリ́ート:完成する);accomplish one's goal(ゴ́ウルをアカ́ンプリシュ:目標を達成する),学習;成果,3
abundant,アバ́ンダント,豊富な,ラテン語abundare(溢れる)から。派生語: abundance(アバ́ンダンス:豊富さ), abundantly(アバ́ンダントリ:豊富に),be abundant in～(ビーアバ́ンダントイン:～が豊富である);plentiful(プレ́ンティフル:豊富な);ample(ア́ンプル:十分な);natural resources(ナ́チュラルリソ́ーシズ:天然資源),環境;自然,3
acquire,アクワ́イア,獲得する,ラテン語acquirere(得る)から。派生語: acquisition(アクウィジ́ッション:取得・習得), acquired(アクワ́イアド:獲得した),acquire knowledge(ナ́リッジをアクワ́イア:知識を得る);obtain(オブテ́イン:得る);gain(ゲ́イン:獲得する);acquire skills(スキ́ルズをアクワ́イア:技能を習得する),学習;能力,3
admire,アドマ́イア,賞賛する,ラテン語admirari(驚嘆する)から。派生語: admiration(アドマレ́イション:賞賛), admirable(ア́ドミラブル:賞賛すべき),admire someone's courage(サ́ムワンズカ́レッジをアドマ́イア:～の勇気を賞賛する);respect(リスペ́クト:尊敬する);appreciate(アプリ́ーシエイト:評価する);look up to～(ルックア́ップトゥ:～を尊敬する),感情;評価,2
ancient,エ́インシェント,古代の,ラテン語ante(前に)から。派生語: antiquity(アンティ́クウィティ:古代), ancestor(ア́ンセスター:祖先),ancient civilization(エ́インシェントスィヴィライゼ́イション:古代文明);old(オ́ウルド:古い);antique(アンティ́ーク:骨董品の);in ancient times(インエ́インシェントタ́イムズ:古代において),歴史;時代,2
anxious,ア́ングシャス,不安な,ラテン語anxius(心配な)から。派生語: anxiety(アングザ́イアティ:不安), anxiously(ア́ングシャスリ:心配そうに),be anxious about～(ビーア́ングシャスアバウト:～を心配する);worried(ワ́ーリド:心配している);nervous(ナ́ーヴァス:神経質な);be concerned about～(ビーコンサ́ーンドアバウト:～を心配する),感情;心理,2
apparent,アパ́レント,明白な,ラテン語apparere(現れる)から。派生語: apparently(アパ́レントリ:明らかに・どうやら), appearance(アピ́アランス:外見・出現),it is apparent that～(イティズアパ́レントザット:～は明白だ);obvious(ア́ブヴィアス:明らかな);evident(エ́ヴィデント:明白な);clear(クリ́ア:明確な),状態;程度,3
approach,アプロ́ウチ,接近する,ラテン語appropiare(近づく)から。派生語: approachable(アプロ́ウチャブル:親しみやすい), approaching(アプロ́ウチング:接近しつつある),approach the station(ステ́イションにアプロ́ウチ:駅に近づく);come near(カムニ́ア:近づく);get close to～(ゲットクロ́ウストゥ:～に近づく);draw near(ドロ́ーニ́ア:近づく),動作;位置,2
appropriate,アプロ́ウプリエイト,適切な,ラテン語appropriatus(適切な)から。派生語: appropriately(アプロ́ウプリエイトリ:適切に), inappropriate(イナプロ́ウプリエイト:不適切な),appropriate behavior(アプロ́ウプリエイトビヘ́イヴィア:適切な行動);suitable(ス́ータブル:適した);proper(プラ́パー:適切な);fit for～(フィットフォア:～にふさわしい),状態;評価,3
benefit,ベ́ネフィット,利益,ラテン語benefactum(善行)から。派生語: beneficial(ベネフィ́シャル:有益な), beneficiary(ベネフィ́シエリ:受益者),benefit from～(ベ́ネフィットフロム:～から利益を得る);advantage(アドヴァ́ンテッジ:利点);profit(プラ́フィット:利益);for the benefit of～(フォアザベ́ネフィットオブ:～のために),経済;結果,2
capable,ケ́イパブル,有能な,ラテン語capabilis(受け入れられる)から。派生語: capability(ケイパビ́リティ:能力), incapable(インケ́イパブル:できない),be capable of～(ビーケ́イパブルオブ:～ができる);able(エ́イブル:できる);competent(カ́ンピテント:有能な);be able to～(ビーエ́イブルトゥ:～できる),能力;評価,2
circumstance,サ́ーカムスタンス,状況,ラテン語circumstare(周りに立つ)から。派生語: circumstantial(サーカムスタ́ンシャル:状況の), circumstances(サ́ーカムスタンシズ:事情),under the circumstances(ア́ンダーザサ́ーカムスタンシズ:この状況では);situation(スィチュエ́イション:状況);condition(コンディ́ション:状態);in such circumstances(インサ́チサ́ーカムスタンシズ:そのような状況で),状態;環境,3
comprehensive,カンプリヘ́ンスィヴ,包括的な,ラテン語comprehendere(理解する)から。派生語: comprehension(カンプリヘ́ンション:理解), comprehend(カンプリヘ́ンド:理解する),comprehensive study(カンプリヘ́ンスィヴスタ́ディ:包括的な研究);thorough(サ́ロウ:徹底的な);complete(コンプリ́ート:完全な);in detail(インディ́テイル:詳細に),程度;範囲,3
consequence,カ́ンスィクウェンス,結果,ラテン語consequi(続く)から。派生語: consequent(カ́ンスィクウェント:結果としての), consequently(カ́ンスィクウェントリ:その結果),as a consequence(アザカ́ンスィクウェンス:結果として);result(リザ́ルト:結果);outcome(ア́ウトカム:成果);as a result(アザリザ́ルト:その結果),因果;結果,3
considerable,コンスィ́デラブル,かなりの,ラテン語considerare(よく考える)から。派生語: considerably(コンスィ́デラブリ:かなり), consider(コンスィ́ダー:考慮する),considerable amount(コンスィ́デラブルアマ́ウント:かなりの量);substantial(サブスタ́ンシャル:相当な);significant(スィグニ́フィカント:重要な);a great deal of～(アグレ́イトディ́ールオブ:多量の),程度;数量,3
contribute,コントリ́ビュート,貢献する,ラテン語contribuere(一緒に与える)から。派生語: contribution(コントリビュ́ーション:貢献・寄付), contributor(コントリ́ビュター:貢献者),contribute to～(コントリ́ビュートトゥ:～に貢献する);donate(ドウネ́イト:寄付する);give(ギ́ヴ:与える);make a contribution to～(メイクアコントリビュ́ーショントゥ:～に貢献する),行為;社会,3
determine,ディタ́ーミン,決定する,ラテン語determinare(境界を定める)から。派生語: determination(ディターミネ́イション:決意・決定), determined(ディタ́ーミンド:決意の固い),determine the cause(ザコ́ーズをディタ́ーミン:原因を特定する);decide(ディサ́イド:決める);settle(セ́トル:解決する);be determined to～(ビーディタ́ーミンドトゥ:～する決意である),思考;判断,2
efficient,イフィ́シェント,効率的な,ラテン語efficere(成し遂げる)から。派生語: efficiency(イフィ́シェンシ:効率), efficiently(イフィ́シェントリ:効率的に),efficient method(イフィ́シェントメ́ソッド:効率的な方法);effective(イフェ́クティヴ:効果的な);productive(プロダ́クティヴ:生産的な);work efficiently(ワ́ークイフィ́シェントリ:効率的に働く),方法;評価,3
eliminate,イリ́ミネイト,除去する,ラテン語eliminare(しきいの外に出す)から。派生語: elimination(イリミネ́イション:除去・排除), eliminate(イリ́ミネイト:削除する),eliminate waste(ウェ́イストをイリ́ミネイト:無駄を省く);remove(リム́ーヴ:取り除く);delete(ディリ́ート:削除する);get rid of～(ゲットリ́ッドオブ:～を取り除く),動作;処理,3
enormous,イノ́ーマス,巨大な,ラテン語enormis(規則外れの)から。派生語: enormously(イノ́ーマスリ:非常に), enormity(イノ́ーマティ:巨大さ・極悪さ),enormous building(イノ́ーマスビ́ルディング:巨大な建物);huge(ヒュ́ージ:巨大な);immense(イメ́ンス:莫大な);an enormous amount of～(アンイノ́ーマスアマ́ウントオブ:莫大な量の),サイズ;程度,2
