語句,読み,意味,語源等解説,関連語,関連分野,難易度
a ballpark figure,ア ボールパーク フィギュア,概算,ballpark(野球場)のfigure(数字)。大まかな見積もりの比喩。,"rough estimate(ラフ エスティメイト): 大まかな見積もり, approximate number(アプロクシメイト ナンバー): 概数",時間・数量,上級
a blessing and a curse,ア ブレッシング アンド ア カース,良し悪しがある,blessing(祝福)とcurse(呪い)の両方。利点と欠点が混在すること。,"mixed blessing(ミクスト ブレッシング): 善し悪し両面, double-edged sword(ダブル エッジド ソード): 諸刃の剣",人・社会,上級
a chip on one's shoulder,ア チップ オン ワンズ ショルダー,喧嘩腰である,shoulder(肩)のchip(木片)。挑戦的な態度を示すこと。,"aggressive attitude(アグレッシブ アティチュード): 攻撃的な態度, easily offended(イージリ オフェンディッド): 怒りやすい",人・社会,上級
a leopard cannot change its spots,ア レパード キャノット チェンジ イッツ スポッツ,本性は変わらない,leopard(ヒョウ)はspots(斑点)を変えられない。本質的な性格は変えられないこと。,"unchangeable nature(アンチェンジャブル ネイチャー): 変わらない性質, inherent character(インヘレント キャラクター): 生来の性格",人・社会,上級
a picture is worth a thousand words,ア ピクチャー イズ ワース ア サウザンド ワーズ,百聞は一見に如かず,picture(絵)が千のwords(言葉)に値する。視覚的情報の力。,"visual impact(ビジュアル インパクト): 視覚的効果, seeing is believing(シーイング イズ ビリービング): 見るのが信じること",言語基本,上級
a wolf in sheep's clothing,ア ウルフ イン シープス クロージング,羊の皮を被った狼,sheep(羊)のclothing(衣服)のwolf(狼)。見かけは良いが実は危険な人。,"deceptive appearance(ディセプティブ アピアランス): 欺瞞的な外見, hidden danger(ヒドゥン デインジャー): 隠された危険",人・社会,上級
against the grain,アゲンスト ザ グレイン,性に合わない,grain(木目)に逆らって。自然な傾向に反すること。,"contrary to nature(コントラリ トゥ ネイチャー): 性質に反して, uncomfortable(アンコンフォータブル): 心地悪い",人・社会,上級
all bark and no bite,オール バーク アンド ノー バイト,口ばかりで実行力がない,bark(吠える)だけでbite(噛む)ことはない。脅しだけで実害はないこと。,"empty threat(エンプティ スレット): 空脅し, harmless(ハームレス): 無害な",人・社会,上級
all in a day's work,オール イン ア デイズ ワーク,日常茶飯事,一日のwork(仕事)の全て。通常の業務の範囲内という意味。,"routine(ルーティーン): 日常的な, normal occurrence(ノーマル オカレンス): 普通の出来事",日常生活,上級
all that glitters is not gold,オール ザット グリッターズ イズ ノット ゴールド,見かけ倒し,glitters(輝く)全てがgold(金)ではない。外見と実態が異なること。,"deceptive appearance(ディセプティブ アピアランス): 欺瞞的な外見, not as good as it looks(ノット アズ グッド アズ イット ルックス): 見た目ほど良くない",人・社会,上級
